('Calibration Fields_Raw_DN_Signal_321', [19.994568, 114.90292])
('Calibration Fields_Raw_DN_Signal_322', [21.311373, 114.52504])
('Calibration Fields_Raw_DN_Signal_323', [17.740604, 114.504425])
('Calibration Fields_Raw_DN_Signal_789', [0.0, 114.08843])
('Calibration Fields_Raw_DN_Signal_328', [0.0, 101.896866])
('Calibration Fields_Raw_DN_Signal_329', [0.0, 104.065636])
('Calibration Fields_Raw_DN_Signal_268', [19.678988, 101.694496])
('Calibration Fields_Raw_DN_Signal_687', [0.0, 101.79926])
('Data_uPackageCtrl', [0, 65534])
('Calibration Fields_Raw_DN_Signal_623', [0.0, 114.52092])
('Calibration Fields_Raw_DN_Signal_629', [0.0, 102.8504])
('QA Fields_Quality_Discard_2', [0, 55])
('Calibration Fields_Raw_DN_Signal_783', [0.0, 104.61761])
('Satellite Telemetry Data_Condition_monitor_24', [0.0, 0.0022254551161330826])
('Calibration Fields_Raw_DN_Signal_727', [0.0, 107.38204])
('Calibration Fields_Raw_DN_Signal_498', [0.0, 114.98878])
('Calibration Fields_Raw_DN_Signal_712', [0.0, 113.245384])
('Satellite Telemetry Data_Servo_status_1', [0.0, 0.029063617672447615])
('Satellite Telemetry Data_Servo_status_0', [0.0, 28.84728])
('Calibration Fields_Raw_DN_Signal_19', [17.530083, 114.90292])
('Calibration Fields_Raw_DN_Signal_18', [18.695984, 114.94793])
('Calibration Fields_Raw_DN_Signal_17', [18.232296, 113.69605])
('Calibration Fields_Raw_DN_Signal_16', [22.078363, 111.35984])
('Calibration Fields_Raw_DN_Signal_15', [18.993416, 102.23415])
('Calibration Fields_Raw_DN_Signal_14', [21.176855, 101.88271])
('Calibration Fields_Raw_DN_Signal_13', [21.067856, 102.06085])
('Calibration Fields_Raw_DN_Signal_12', [18.721563, 102.6095])
('Calibration Fields_Raw_DN_Signal_11', [21.339378, 102.91046])
('Calibration Fields_Raw_DN_Signal_10', [21.084805, 109.25077])
('Calibration Fields_Raw_DN_Signal_669', [0.0, 114.08843])
('Calibration Fields_Raw_DN_Signal_668', [0.0, 111.82423])
('Calibration Fields_Raw_DN_Signal_102', [21.654669, 101.00649])
('Calibration Fields_Raw_DN_Signal_103', [19.708117, 102.842834])
('Calibration Fields_Raw_DN_Signal_104', [18.240444, 101.24814])
('Calibration Fields_Raw_DN_Signal_105', [20.721119, 100.20947])
('Calibration Fields_Raw_DN_Signal_106', [20.834578, 115.01457])
('Calibration Fields_Raw_DN_Signal_107', [21.484484, 114.96283])
('Calibration Fields_Raw_DN_Signal_661', [0.0, 101.7068])
('Calibration Fields_Raw_DN_Signal_660', [0.0, 101.71663])
('Calibration Fields_Raw_DN_Signal_663', [0.0, 102.6334])
('Calibration Fields_Raw_DN_Signal_662', [0.0, 101.899216])
('Calibration Fields_Raw_DN_Signal_665', [0.0, 113.75538])
('Calibration Fields_Raw_DN_Signal_664', [0.0, 111.460945])
('Calibration Fields_Raw_DN_Signal_667', [0.0, 110.50795])
('Calibration Fields_Raw_DN_Signal_666', [0.0, 113.73322])
('Satellite Telemetry Data_Daycnt', [16, 8153])
('Calibration Fields_Raw_DN_Signal_618', [0.0, 102.03129])
('Calibration Fields_Raw_DN_Signal_619', [0.0, 114.99247])
('Calibration Fields_Raw_DN_Signal_614', [0.0, 102.79333])
('Calibration Fields_Raw_DN_Signal_615', [0.0, 102.94018])
('Calibration Fields_Raw_DN_Signal_616', [0.0, 102.040405])
('Calibration Fields_Raw_DN_Signal_617', [0.0, 100.868515])
('Calibration Fields_Raw_DN_Signal_610', [0.0, 112.18773])
('Calibration Fields_Raw_DN_Signal_611', [0.0, 113.096535])
('Calibration Fields_Raw_DN_Signal_612', [0.0, 114.378654])
('Calibration Fields_Raw_DN_Signal_613', [0.0, 109.17743])
('Calibration Fields_Raw_DN_Signal_199', [20.674892, 114.95911])
('Calibration Fields_Raw_DN_Signal_198', [17.469746, 114.96283])
('Calibration Fields_Raw_DN_Signal_193', [20.649258, 101.21797])
('Calibration Fields_Raw_DN_Signal_192', [19.950865, 100.53058])
('Calibration Fields_Raw_DN_Signal_191', [17.418407, 109.173904])
('Calibration Fields_Raw_DN_Signal_190', [19.980957, 114.376526])
